help	बचाओ
didnt you go out	आप बाहर नहीं गए थें क्या
didnt you go out	तुम बाहर नहीं गए थे क्या
didnt you go out	तू बाहर नहीं गया था क्या
do you believe me	क्या तुम्हे मुझपर यकीन है
do you believe me	क्या तुम मुझपर यकीन करते हो
do you believe me	क्या तुम मेरा यकीन करते हो
dont deceive him	उसे धोका मत दो।
he began to shout	वह चिल्लाने लगा।
he came to see me	वह मुझसे मिलने आया था।
he employs a maid	वह नौकरानी रखता है।
he is after a job	वह किसी नौकरी के पीछे पड़ा है।
he is walking now	वह अब चल रहा है।
he studied abroad	उसने विदेश में पढ़ाई करी थी।
he turned traitor	वह देशद्रोही बन गया।
hes already left	वह जाचुका है।
i can drive a car	मैं गाड़ी चला सकता हूँ।
i cried all night	मैं पूरी रात रोई।
i got very sleepy	मुझे नींद आ गई।
i have a headache	मेरे सिर में दर्द हो रहा है।
i have a headache	मुझे सिरदर्द हो रहा है।
i have some money	मेरे पास कुछ पैसे हैं।
i havent met him	मेरी उससे मुलाकात नहीं हुई है।
i listen to music	मैं संगीत सुनता हूँ।
i saw him running	मैंने उसे दौड़ते हुए देखा।
i saw him running	मैंने उसे भागते हुए देखा।
i truly loved her	मैं उससे सच्चा प्यार करता था।
i work for a bank	मैं बैंक में काम करता हूँ।
im getting happy	मैं खुश हो रहा हूँ।
im not a student	मैं विद्यार्थी नहीं हूँ।
im not like that	मैं वैसा नहीं हूँ।
im really hungry	मुझे बहुत भूख लगी है।
its not my fault	मेरी ग़लती नहीं है।
its starting now	शुरू हो रहा है।
my bag was stolen	मेरा बस्ता चोरी हो गया था।
my eyes are tired	मेरी आँखें थक गईं हैं।
no ones in sight	आसपास कोई नहीं है।
put your hands up	हाथ ऊपर करो
she began to sing	वह गाने लगी।
she has blue eyes	उसकी नीली आँखें हैं।
she isnt married	वह शादीशुदा नहीं है।
tell me the truth	मुझे सच्चाई बताओ।
the earth rotates	पृथ्वी घूमती है।
try it once again	एक बार फिरसे कोशिश करो।
try it once again	एक बार और प्रयत्न करो।
turn on the radio	रेडियो को चालू करो।
we dont know her	हम उसे नहीं जानते हैं।
we dont know him	हम उसे नहीं जानते हैं।
we have good news	हमारे पास खुशखबर है।
what is happiness	खुशी क्या होती है
what is happiness	सुख क्या होता है
what is your name	आपका नाम क्या है
whats the matter	मुश्किल क्या है
where do you live	आप कहाँ रहते हैं
where do you live	तुम कहाँ रहते हो
where do you live	तू कहाँ रहता है
where do you live	तुम कहाँ रहती हो
where do you live	तू कहाँ रहती है
where is the book	वह किताब कहाँ है
wheres the beach	समुद्र तट कहां है
who made this pie	यह पाय किसने बनाई है
yes thats right	हाँ। यह सही है।
you have to leave	तुम्हें जाना होगा।
are you busy today	तुम आज बिज़ी हो क्या
are you busy today	तुम्हारे पास आज समय है क्या
can we have a talk	हम बात कर सकते हैं क्या
come along with us	हमारे साथ आओ।
did you sleep well	तुम अच्छे से सोये क्या
do you remember me	तुम्हें मैं याद हूँ क्या
dont give up hope	उम्मीद मत छोड़ो।
dont throw stones	पत्थर मत फेंको।
everyone likes her	उसे सब पसंद करते हैं।
everyone likes him	उसे सब पसंद करते हैं।
have you gone nuts	तेरी अकल घास चरने गई है क्या
he breathed deeply	उसने गहरी साँस ली।
he closed his eyes	उसने अपनी आँखें बंद करीं।
he cried and cried	वह रोया और और रोया।
he is a simple man	वह साधा आदमी है।
he is sure to come	वह ज़रूर आएगा।
he isnt my cousin	वह मेरा चचेरा भाई नहीं है।
he isnt my cousin	वह मेरा ममेरा भाई नहीं है।
he waited his turn	उसने अपनी बारी का इंतेज़ार किया।
he works at a bank	वह बैंक में काम करता है।
hes a good person	वह अच्छा इनसान है।
i admit my mistake	मैं अपनी ग़लती मानता हूँ।
i can read english	मैं अंग्रेज़ी पढ़ सकता हूँ।
i can read english	मैं अंग्रेज़ी पढ़ सकती हूँ।
i cant believe it	मुझे विश्वास नहीं होता
i heard him go out	मैंने उसके बाहर जाने की आवाज़ सुनी।
i know her address	मुझे उसका पता पता है।
i know his address	मुझे उसका पता पता है।
i know those women	मैं उन औरतों को जानता हूँ।
i know your father	मैं तुम्हारे पिताजी को जानता हूँ।
i sort of like him	मुझे वह अच्छा सा लगता है।
i still dont know	मुझे अभी भी नहीं पता।
i was born in 1960	मैं १९६० में पैदा हुआ था।
i was born in 1979	मैं १९७९ में पैदा हुआ था।
i watch television	मैं टीवी देखता हूँ।
i worked all night	मैंने पूरी रात काम किया।
i worked all night	मैंने रातभर काम किया।
ill see you later	बाद में मिलेंगे।
ill see you later	फिर मिलेंगे।
im as tall as you	मैं तुम्हारे जितना लम्बा हूँ।
im coming at once	मैं अभी आता हूँ।
is this book yours	क्या यह किताब तुम्हारी है
it is already dark	अभी से रात हो गई है।
it looks like snow	बरफ़ जैसा दिखता है।
it started to snow	बरफ़ गिरनी शुरू गो गई।
it was sort of fun	वो मजेदार था i
its mine not his	मेरा है उसका नहीं।
its mine not his	मेरी है उसकी नहीं।
its too expensive	बहुत महंगा है
its too expensive	बहुत महंगी है
its very hot here	यहाँ बहुत गरम है।
let me handle this	यह मुझे संभालने दो।
lets take a train	रेलगाड़ी से चलते हैं।
my car is a toyota	मेरी गाड़ी टोयोटा है।
my family is small	मेरा परिवार छोटा है।
no one can help me	कोई मेरी मदद नहीं कर सकता।
she is very pretty	वह बहुत सुंदर है।
she leaped for joy	वह खुशी से उछल पड़ी।
she smiled happily	उसने खुशी से मुस्कुराया।
shes not a doctor	वह डॉक्टर नहीं है।
that guy annoys me	मुझे उस आदमी से चिढ़ आती है।
the batter was out	बॅटर आऊट हो गया था।
the crow flew away	कौआ उड़ गया।
the power went out	बिजली चली गई।
these dogs are big	ये कुत्ते बड़े हैं।
this is marys dog	यह मेरी का कुत्ता है।
was his story true	उसकी कहानी सच्ची थी क्या
we are against war	हम जंग के ख़िलाफ़ हैं।
we are against war	हम युद्ध का विरोध करते हैं।
we enjoyed skating	हमे स्केटिंग करके मज़ा आया।
we were in a hurry	हम जल्दी में थे।
we were very tired	हम बहुत थक चुके थे।
were good friends	हम अच्छे दोस्त हैं।
what a big pumpkin	कितना बड़ा कद्दू है
whats the problem	मुश्किल क्या है
when does it begin	शुरू कब होता है
where are the kids	बच्चे कहाँ गए
where is the beach	समुद्र तट कहां है
which dog is yours	तुम्हारा कुत्ता कौनसा है
who broke the vase	गुलदान को किसने तोड़ दिया
who made this cake	यह केक किसने बनाया है
whos at the wheel	गाड़ी कौन चला रहा है
whose book is this	यह किसकी किताब है
you may use my pen	तुम मेरी कलम इस्तेमाल कर सकते हो।
answer my questions	मेरे सवालों का जवाब दो।
are they in the gym	वे जिमखाने में हैं क्या
can you drive a car	तुम्हें गाड़ी चलाना आता है क्या
can you drive a car	तुम गाड़ी चला सकते हो क्या
could you sign here	यहाँ हस्ताक्षर कर सकते हैं क्या
everybody likes her	उसे सब पसंद करते हैं।
everybody likes him	उसे सब पसंद करते हैं।
excuse me im lost	माफ़ कीजिएगा मैं खो गई हूँ।
he called me a taxi	उसने मेरे लिए टेक्सी बुलवाई।
he felt very lonely	उसे बहुत अकेलापन महसूस हुआ।
he lives next to me	वह मेरे पड़ोस में रहता है।
he looks very tired	वह बहुत थकाहारा सा लगता है।
he seems to be rich	वह दिखने में बहुत अमीर लगता है।
hell get well soon	वह जल्द ही ठीक हो जाएगा।
hes in a bad state	उसकी हालत बुरी है।
how about the taste	और स्वाद कैसा है
how did you make it	तुमने कैसे बनाया
i am not from india	मैं भारत से नहीं हूँ।
i am reading a book	मैं किताब पढ़ रही हूँ।
i bought an old car	मैंने पुरानी गाड़ी खरीदी।
i can teach english	मैं अंग्रेज़ी पढ़ा सकता हूँ।
i continued singing	मैं गाता चला गया।
i do not understand	मैं समझा नहीं।
i dont like summer	मुझे गर्मी का मौसम पसंद नहीं है।
i forgot to ask him	मैं उससे पूछना भूल गया।
i hate taking risks	मुझे जोखिम लेना पसंद नहीं है।
i havent eaten yet	मैंने अभी तक नहीं खाया है।
i know both of them	मैं दोनो को जानता था।
i know what that is	मुझे पता है कि वह चीज़ क्या है।
i tried to tell you	मैंने तुम्हे बताने की कोशिश करी थी।
i want to marry her	मैं उससे शादी करना चाहता हूँ।
i wanted her to win	मैं चाहता था कि वह जीत जाए।
id like a city map	मुझे शहर का नक्शा चाहिए।
id like to see her	मैं उसे देखना चाहूँगा।
id like to see her	मैं उससे मिलना चाहूँगा।
ill be back at ten	मैं दस बजे वापस आऊँगा।
ill bring the wine	मैं शराब लाता हूँ।
ill bring the wine	मैं शराब लाऊँगा।
ill make you happy	मैं तुम्हें खुश करूँगा।
ive already called	मैंने फ़ोन कर लिया है।
ive lost my ticket	मेरी टिकट खो गई है।
lets play baseball	चलो बेसबॉल खेलतें हैं।
must i write in ink	मुझे स्याही से ही लिखना होगा
my family loved tom	मेरे परिवार को टॉम पसंद था।
my money was stolen	मेरे पैसे चोरी हो गए।
my sister has a job	मेरी बहन के पास नौकरी है।
she kept on working	वह काम करती रही।
she pulled my shirt	उसने मेरी कमीज़ खींची।
that is not a tiger	वह बाघ नहीं है।
that was my mistake	वह मेरी ग़लती थी।
the skies are clear	आसमान साफ़ है।
the trees are green	पेड़ हरे हैं।
these are our books	ये हमारी किताबें हैं।
this is what i need	यह वही चीज़ है जिसकी मुझे ज़रूरत है।
watch your language	ज़बान सम्भाल के बात करो।
we are good friends	हम अच्छे दोस्त हैं।
we must pay the tax	हमें टैक्स भरना पड़ेगा।
what did you answer	तुमने क्या जवाब दिया
what is in this box	इस डब्बे में क्या है
what were you doing	तुम क्या कर रहे थे
where are you going	तुम कहाँ जा रहे हो
where are you going	आप कहाँ जा रहे हैं
wheres the airport	हवाई अड्डा कहाँ पर है
which book is yours	तुम्हारी किताब कौनसी है
who is your teacher	तुम्हारे टीचर कौन हैं
why didnt you come	तुम क्यों नहीं आए
will you go with us	तुम हमारे साथ आओगे क्या
winter is coming on	सर्दी आ रही है।
you are at it again	तुम फिरसे चालू हो गए।
you must forgive me	तुम्हे मुझे माफ़ करना होगा।
you must forgive me	आपको मुझे क्षमा करना होगा।
you must study hard	तुम्हें मन लगाकर पढ़ना होगा।
youre a life saver	तुमने मेरी जान बचाली।
didnt i tell you so	मैंने तुम्हें बताया नहीं था
do you have a pencil	तुम्हारे पास पेनसिल है क्या
do you live in tokyo	तुम टोक्यो में रहते हो क्या
do you speak english	क्या आप अंग्रेज़ी बोलते हैं
dont open your book	अपनी किताब मत खोलो।
dont worry about me	मेरी चिंता मत करो।
dont worry about us	हमारी चिंता मत करो।
fish live in the sea	मछलियाँ समुंदर में रहतीं हैं।
have you been abroad	आप विदेश गए हुए हैं क्या
he envied my success	उसको मेरी कामयाबी से जलन थी।
he got angry with me	वह मुझपर गुस्सा हो गया।
he has been to india	वह भारत गया हुआ है।
he is angry with you	वह तुमसे नाराज़ है।
he is hard to please	उसको खुश करना बहुत मुश्किल है।
he is in poor health	उसकी हालत बुरी है।
he lent me two books	उसने मुझे दो किताबें उधार दीं।
he made up an excuse	उसने कोई बहाना बना लिया।
he married for money	उसने पैसों के लिए शादी की।
he saw a pretty girl	उसने एक सुंदर लड़की को देखा।
he wanted to succeed	वह कामयाब होना चाहता था।
hows your job going	तुम्हारी नौकरी कैसी चल रही है
i agree to this plan	मैं इस योजना से सहमत हूँ।
i am a stranger here	मुझे यहाँ पर अजनबी के जैसा महसूस होता है।
i am counting on you	मैं तुमपर भरोसा कर रहा हूँ।
i am eating an apple	मैं सेव खा रहा हूँ ।
i am eating an apple	मैं सेव खा रही हूँ ।
i dont mind waiting	मुझे प्रतीक्षा करने में कोई आपत्ती नहीं है।
i expect him to come	मुझे लगता है वह आएगा।
i feel like vomiting	मुझे उल्टी आ रही है।
i have a few friends	मेरे पास कुछ दोस्त हैं।
i have a stomachache	मुझे पेट में दर्द हो रहा है।
i have back problems	मुझे पीठ की तकलीफ है i
i have caught a cold	मुझे ज़ुकाम हो गया है।
i just cut my finger	मैंने अपनी ऊँगली काट ली।
i know why he did it	मुझे पता है उसने क्यों किया था।
i live in a big city	मैं बड़े शहर में रहता हूँ।
i lost consciousness	मैं बेहोशी में चला गया।
i lost consciousness	मैं बेहोश हो गया।
i meant it as a joke	मैंने तो मज़ाक के तौर पर कहा था।
i meant it as a joke	मैंने तो मज़ाक समझकर बोला था।
i met mary yesterday	मैं कल मेरी से मिला था।
i think youre right	मेरे ख़याल से तुम सही हो।
i want my money back	मुझे अपने पैसे वापस चाहिए।
i will come with you	मैं तुम्हारे साथ आऊँगा।
ill admit im wrong	मैं मानता हूँ कि मैं ग़लत था।
ill never come back	मैं कभी वापस नहीं आऊँगा।
im allergic to fish	मुझे मछली से एलर्जी है।
ive lost my glasses	मेरा चश्मा खो गया है।
ive lost my glasses	मेरे चश्मे खो गए हैं।
ive made a decision	मैं फ़ैसला कर चुका हूँ।
is he reading a book	वह किताब पढ़ रहा है क्या
is it open on sunday	रविवार को खुला होता है क्या
is the phone ringing	फ़ोन बज रहा है क्या
it is already eleven	ग्यारह बज चुके हैं।
it is free of charge	यह मुफ़्त का है।
its an easy victory	यह जीत तो बहुत आसान थी।
let me take you home	मुझे तुम्हें घर लेजाने दो।
lincoln died in 1865	लिंकन की मौत १८६५ में हुई थी।
please do it quickly	जल्दी कीजिए।
please shut the door	दरवाज़े को बंद कर दीजिए।
she gave him a watch	उसने उसे एक घड़ी दी।
she wore a red dress	उसने लाल रंग के कपड़े पहने थे।
she wore a red dress	उसने लाल ड्रेस पहनी थी।
thats his specialty	वह उसकी ख़ासियत है।
the house is haunted	इस घर में भूत है।
the house was ablaze	घर आग में लिपटा हुआ था।
the man looked at me	उस आदमी ने मेरी ओर देखा।
the sheets feel damp	चादरें गीलीं लगतीं हैं।
the water pipe burst	पानी का पाइप फट गया।
these books are mine	ये किताबें मेरीं हैं।
these shoes are hers	यह जूते उसके हैं।
they went to the zoo	वे ज़ू गए थे।
this feels like silk	यह रेशम जैसा लगता है।
this watch is broken	यह घड़ी टूटी हुई है।
time goes by quickly	समय तेज़ी से बीतता है।
wash your hands well	अपने हाथ अच्छे से धोओ।
what day is it today	आज कौनसा वार है
what does it contain	इसमें क्या है
when did you see her	तुमने उसे कब देखा था
when will you return	तुम कब लौट कर आओगे
where is the problem	मुश्किल क्या है
where is the problem	मुश्किल कहाँ है
where is your father	तुम्हारे पिता कहाँ हैं
will you go by train	तुम रेलगाड़ी से जाओगे क्या
you cant prove that	तुम वह साबित नहीं कर सकते।
you look happy today	तुम आज खुश लगते हो।
your dog is very big	तुम्हारा कुत्ता बहुत बड़ा है।
your dog is very fat	तुम्हारा कुत्ता बहुत मोटा है।
can i use your pencil	मैं तुम्हारी पेनसिल इस्तेमाल कर सकता हूँ क्या
can the rumor be true	क्या यह अफ़वाह सच हो सकती है
can you keep a secret	तुम राज़ रख सकते हो क्या
did you see my camera	तुमने मेरा कैमरा देखा क्या
do you believe in god	क्या तुम भगवान में विश्वास करते हो
do you know your size	क्या आपको अपना नाप पता है
do you like this book	क्या तुम्हें यह किताब पसंद है
does he speak english	वह अंग्रेज़ी बोलता है क्या
dont be disappointed	निराश मत हो।
fat hens lay few eggs	मोटी मुर्गियाँ कम अंडे देतीं हैं।
has the bell rung yet	घंटी बज चुकी है क्या
he accepted our offer	उसने हमारा प्रस्ताव स्वीकार कर लिया।
he became a policeman	वह पुलिस अफ़सर बन गया।
he became a policeman	वह पुलिसवाला बन गया।
he climbed the stairs	वह सीड़ियों पर चढ़ गया।
he deals in furniture	वो फ़र्निचर का व्यापार करता है।
he got a lot of money	उसे बहुत सारा पैसा मिला।
he has a little money	उसके पास थोड़ेबहुत पैसे हैं।
he has a lot of money	वह बहुत पैसेवाला है।
he is a sharpshooter	उसका निशाना बहुत अच्छा है।
he is poor but happy	वह गरीब है पर खुश है।
he is tall and strong	वह लम्बा और ताकतवर है।
he knows us very well	वह हमको अच्छी तरह से जानता है।
he looks like a horse	वह दिखने में घोड़े की तरह लगता है।
he must be over sixty	वे कमसेकम साठ बरस के तो होंगे।
he sang while working	उसने गाते गाते काम किया।
he was my dear friend	वह मेरा अच्छा दोस्त था।
he was sick last week	वह पिछले हफ़्ते बीमार था।
he won the race again	उसने प्रतियोगिता फिरसे जीत ली।
he writes beautifully	वह सुंदर लिखता है।
how do you feel today	तुम्हे आज कैसा लग रहा है
i am grateful to them	मैं उनका आभारी हूँ।
i am poor at swimming	मुझे ढंग से तैरना नहीं आता।
i am tired of my work	मैं अपने काम से थक चुका हूँ।
